271,HEXA,Hexindo Adiperkasa Tbk.,
235,KKGI,Resource Alam Indonesia Tbk.,
234,SKLT,Sekar Laut Tbk.,
233,JIHD,Jakarta International Hotels & Development Tbk.,
231,BNBR,Bakrie & Brothers Tbk,
230,CMPP,Rimau Multi Putra Pratama Tbk.,
229,MERK,Merck Tbk.,
228,CTBN,Citra Tubindo Tbk.,
226,WICO,Wicaksana Overseas International Tbk.,
225,VOKS,Voksel Electric Tbk.,
223,UNTR,United Tractors Tbk.,
222,UNSP,Bakrie Sumatera Plantations Tbk.,
221,ULTJ,Ultra Jaya Milk Industry & Trading Company\, Tbk.,
219,TSPC,Tempo Scan Pacific Tbk.,
218,TRST,Trias Sentosa Tbk.,
214,TOTO,Surya Toto Indonesia Tbk.,
213,TMPI,Sigmagold Inti Perkasa Tbk.,
212,ASDM,Asuransi Dayin Mitra Tbk.,
210,TKGA,Permata Prima Sakti Tbk.,
209,TIRA,Tira Austenite Tbk,
208,TGKA,Tigaraksa Satria Tbk.,
207,TFCO,Tifico Fiber Indonesia Tbk.,
204,TCID,Mandom Indonesia Tbk.,
203,TBMS,Tembaga Mulia Semanan Tbk.,
201,SULI,SLJ Global Tbk.,
198,SRSN,Indo Acidatama Tbk,
197,SQBI,Taisho Pharmaceutical Indonesia Tbk.,
196,SPMA,Suparma Tbk.,
195,SONA,Sona Topas Tourism Industry Tbk.,
193,SMGR,Semen Indonesia (Persero) Tbk.,
192,SMCB,Holcim Indonesia Tbk.,
189,SIMA,Siwani Makmur Tbk,
188,SHID,Hotel Sahid Jaya International Tbk.,
186,SDPC,Millennium Pharmacon International Tbk.,
185,SCPI,Merck Sharp Dohme Pharma Tbk.,
184,SCCO,Supreme Cable Manufacturing & Commerce Tbk.,
182,RMBA,Bentoel Internasional Investama Tbk.,
181,RIGS,Rig Tenders Indonesia Tbk.,
180,RDTX,Roda Vivatex Tbk,
177,PWON,Pakuwon Jati Tbk.,
176,PUDP,Pudjiadi Prestige Tbk.,
175,PTSP,Pioneerindo Gourmet International Tbk.,
173,PSDN,Prasidha Aneka Niaga Tbk,
172,PRAS,Prima Alloy Steel Universal Tbk.,
171,POOL,Pool Advista Indonesia Tbk.,
170,POLY,Asia Pacific Fibers Tbk,
169,PNSE,Pudjiadi & Sons Tbk.,
168,PNLF,Panin Financial Tbk.,
167,PNIN,Paninvest Tbk.,
166,PNBN,Bank Pan Indonesia Tbk,
165,PLIN,Plaza Indonesia Realty Tbk.,
160,OMRE,Indonesia Prima Property Tbk,
159,NISP,Bank OCBC NISP Tbk.,
158,NIPS,Nipress Tbk.,
157,MYTX,Asia Pacific Investama Tbk.,
156,MYRX,Hanson International Tbk.,
155,MTSM,Metro Realty Tbk.,
154,MTFN,Capitalinc Investment Tbk.,
153,MTDL,Metrodata Electronics Tbk.,
152,MREI,Maskapai Reasuransi Indonesia Tbk.,
151,MLPL,Multipolar Tbk.,
149,MLIA,Mulia Industrindo Tbk,
148,MLBI,Multi Bintang Indonesia Tbk.,
147,MEDC,Medco Energi Internasional Tbk.,
146,MDRN,Modern Internasional Tbk.,
145,MDLN,Modernland Realty Tbk.,
142,MAMI,Mas Murni Indonesia Tbk,
141,LPPS,Lippo Securities Tbk.,
140,LPPF,Matahari Department Store Tbk.,
139,LPLI,Star Pacific Tbk,
